,drugname,routeadmin,Notes,pain_med?,narcotic?,antiplatelet?,beta-blocker?,statin?,aspirin?,ace-inhibitor?
2946862,albuterol sulf,NEB,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
4376574,albuterol sulfate (2.5 mg/3ml) 0.083% in nebu,NEBULIZATION,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
5146884,albuterol sulfate (2.5 mg/3ml) 0.083% in nebu,Nebulization,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
42058,albuterol sulfate (5 mg/ml) 0.5% in nebu,NEBULIZATION,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
2543357,albuterol sulfate (proventil) (2.5 mg/3ml) 0.083% inhalation solution 2.5 mg,NEBULIZER,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
1922297,albuterol sulfate 2.5 mg/3 ml (0.083 %) neb solution 3 ml blist pack,NEBULIZATION,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
501009,albuterol-ipratropium (duoneb) inhalation solution 3 ml,NEBULIZER,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
3496091,albuterol-ipratropium (duoneb) nebulizer solution 3 ml,IN,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
424585,albuterol-ipratropium 3-0.5mg,MISC,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
6501373,albuterol/ipratropium,NEB,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
3766339,albuterol/ipratropium neb,INHALATION,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
3929289,albuterol/ipratropium neb 3ml,.ROUTE,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
5543145,albuterol/ipratropium neb 3ml,NEB,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
1383268,alprazolam,ORAL,Sedative,no,no,no,no,no,no,no
2894784,alprazolam,Oral,Sedative,no,no,no,no,no,no,no
3217109,alprazolam,DEVICE,Sedative,no,no,no,no,no,no,no
6465731,alprazolam,PO,Sedative,no,no,no,no,no,no,no
30349,alprazolam 0.25 mg po tabs,PO,Sedative,no,no,no,no,no,no,no
3875084,alprazolam 0.5 mg po tabs,PO,Sedative,no,no,no,no,no,no,no
501001,alteplase (cathflo activase) inj 2 mg,IV PUSH,Stroke/acute STEMI,no,no,no,no,no,no,no
4040282,alteplase 1 mg/2ml syr,Catheter,Stroke/acute STEMI,no,no,no,no,no,no,no
4056941,alteplase 1 mg/2ml syr,IV,Stroke/acute STEMI,no,no,no,no,no,no,no
1003383,ambien,Oral,Sedative,no,no,no,no,no,no,no
2380157,ambien,PO,Sedative,no,no,no,no,no,no,no
929735,aminocaproic acid,.ROUTE,Antifibrinolytic - treats bleeding by enabling clotting,no,no,no,no,no,no,no
3549727,aminocaproic acid,INTRAVENOU,Antifibrinolytic - treats bleeding by enabling clotting,no,no,no,no,no,no,no
335531,amiodarone,MISC,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
480855,amiodarone,IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
590266,amiodarone,Oral,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
1388523,amiodarone,INTRAVENOU,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
1530388,amiodarone,ORAL,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
2678301,amiodarone,IntraVENOUS,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
2844530,amiodarone,Intravenous,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
3321070,amiodarone,DEVICE,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
6105180,amiodarone (cordarone) 150 mg in d5w 100ml bolus,PERIPH IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
6118700,amiodarone (cordarone) 150 mg in d5w 100ml bolus,CENTRAL IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
5694435,amiodarone 150 mg in 100 ml d5w,IV Push,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
5711369,amiodarone 150 mg in 100 ml d5w,IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
5727144,amiodarone 150 mg in 100 ml d5w,IVPB,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
4014933,amiodarone 200 mg tab,PO,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
4056930,amiodarone 200 mg tab,FT,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
3942377,amiodarone 200 mg tablet,Oral,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
5578983,amiodarone 200 mg tablet,PER NG TUBE,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
1619938,amiodarone 450 mg/250 ml d5w infusion (std con'c) (repackage),IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
5683382,amiodarone 900 mg in 500 ml d5w,IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
5694438,amiodarone 900 mg in 500 ml d5w,IVPB,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
6089132,amiodarone bolus,IVPB,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
6607391,amiodarone hcl,PO,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
7255694,amiodarone hcl,INTRAVEN,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
5146875,amiodarone hcl 150 mg/3ml iv soln,IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
3832880,amiodarone hcl 200 mg po tabs,PO,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
3868750,amiodarone hcl 200 mg po tabs,PEG TUBE,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
4265544,amiodarone hcl 900 mg/18ml iv soln,PERIPH IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
6118693,amiodarone hcl 900 mg/18ml iv soln,CENTRAL IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
607096,amlodipine,Oral,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
2043937,amlodipine 5 mg tab,PO,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
4922281,amlodipine 5 mg tablet,Oral,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
155185,amlodipine besylate,PO,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
3836601,amlodipine besylate 10 mg po tabs,PO,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
3877219,amlodipine besylate 5 mg po tabs,PO,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
7193685,amlodipine besylate 5 mg po tabs,Oral,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
1080219,ancef,IV,Antibiotic,no,no,no,no,no,no,no
4885203,apresoline,IV,High blood pressure - vasodilator,no,no,no,no,no,no,no
4891789,apresoline,Oral,High blood pressure - vasodilator,no,no,no,no,no,no,no
5613550,apresoline,PO,High blood pressure - vasodilator,no,no,no,no,no,no,no
255771,ascorbic acid 500 mg tab,PO,Vitamin C?,no,no,no,no,no,no,no
358221,aspart insulin,MISC,Diabetes medication,no,no,no,no,no,no,no
862593,aspirin,.ROUTE,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
887601,aspirin,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
2921539,aspirin,ORAL,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
3028389,aspirin,PR,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
3217099,aspirin,DEVICE,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
3566676,aspirin,ZPYXVEND,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
4121246,aspirin,MISC,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
4253142,aspirin,PO or NG,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
4345889,aspirin,Oral,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
6935927,aspirin   81 mg oral chew tab,Oral,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
3992917,aspirin (baby asa) 81 mg tab,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
4089873,aspirin (baby asa) 81 mg tab,Chewed,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
5683377,aspirin (baby asa) 81 mg tab,NG,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
5805884,aspirin (baby asa) 81 mg tab,FT,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
791647,aspirin (chewable),ORAL,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
3845844,aspirin 300 mg re supp,RE,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
246250,aspirin 300 mg rect supp,PR,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
2032255,aspirin 325 mg ec tab,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
896,aspirin 325 mg po tabs,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
23033,aspirin 325 mg po tabs,PER NG TUBE,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
730836,aspirin 325 mg po tabs,Oral,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
170056,aspirin 325 mg tablet,Oral,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
1943076,aspirin 325 mg tablet,PER NG TUBE,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
4021467,aspirin 325mg tab,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
5683353,aspirin 325mg tab,NG,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
5810737,aspirin 325mg tab,GTUBE,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
1114270,aspirin 81 mg chewable tablet,Oral,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
247164,aspirin 81 mg ec tab,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
547704,aspirin 81 mg po chew,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
3868741,aspirin 81 mg po chew,PEG TUBE,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
3889040,aspirin 81 mg po chew,PER G TUBE,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
4416270,aspirin 81 mg po chew,PER TUBE,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
4430872,aspirin 81 mg po chew,Oral,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
6104125,aspirin chew tab 81 mg,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
6118723,aspirin chew tab 81 mg,NGT,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
215936,aspirin chewable,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
1290503,aspirin ec,ORAL,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
1859682,aspirin ec,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
17246,aspirin ec 325 mg po tbec,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
28648,aspirin ec 81 mg po tbec,PO,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
1283783,"aspirin, children's",ORAL,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
1388539,"aspirin, children's",GASTRIC TU,NSAID/blood thinner,no,no,yes - aspirin,no,no,yes,no
5616540,assess pneumococcal vaccine,MIS,Vaccine for pneumococcal diseases,no,no,no,no,no,no,no
6422075,atenolol,ORAL,beta-blocker,no,no,no,yes,no,no,no
335518,ativan,IV,Sedative,no,no,no,no,no,no,no
2423993,ativan,PO,Sedative,no,no,no,no,no,no,no
4891782,ativan,Oral,Sedative,no,no,no,no,no,no,no
780972,atorvastatin,ORAL,Statin,no,no,no,no,yes,no,no
804649,atorvastatin,TUBE,Statin,no,no,no,no,yes,no,no
870209,atorvastatin,PO,Statin,no,no,no,no,yes,no,no
4345885,atorvastatin,Oral,Statin,no,no,no,no,yes,no,no
2046752,atorvastatin 20 mg tab,PO,Statin,no,no,no,no,yes,no,no
2036734,atorvastatin 40 mg tab,PO,Statin,no,no,no,no,yes,no,no
2176372,atorvastatin 40 mg tab,NG,Statin,no,no,no,no,yes,no,no
2267017,atorvastatin 40 mg tab,Soak,Statin,no,no,no,no,yes,no,no
3934781,atorvastatin 40 mg tablet,Oral,Statin,no,no,no,no,yes,no,no
4623886,atorvastatin calcium 10 mg po tabs,PO,Statin,no,no,no,no,yes,no,no
7193687,atorvastatin calcium 10 mg po tabs,Oral,Statin,no,no,no,no,yes,no,no
4730392,atorvastatin calcium 20 mg po tabs,PO,Statin,no,no,no,no,yes,no,no
5358571,atorvastatin calcium 20 mg po tabs,PER NG TUBE,Statin,no,no,no,no,yes,no,no
695259,atorvastatin calcium 40 mg po tabs,Oral,Statin,no,no,no,no,yes,no,no
882495,atorvastatin calcium 40 mg po tabs,PO,Statin,no,no,no,no,yes,no,no
1663475,atorvastatin calcium 40 mg po tabs,PER NG TUBE,Statin,no,no,no,no,yes,no,no
851047,atorvastatin calcium 80 mg po tabs,PO,Statin,no,no,no,no,yes,no,no
1722519,atorvastatin calcium 80 mg po tabs,PEG TUBE,Statin,no,no,no,no,yes,no,no
3688640,atorvastatin calcium 80 mg po tabs,Oral,Statin,no,no,no,no,yes,no,no
4123824,atropine,MISC,Nervous system blocker,no,no,no,no,no,no,no
4345886,atropine,IntraVENOUS,Nervous system blocker,no,no,no,no,no,no,no
6015099,atropine,IV,Nervous system blocker,no,no,no,no,no,no,no
6410422,atropine,Intravenous,Nervous system blocker,no,no,no,no,no,no,no
6881098,atropine,DEVICE,Nervous system blocker,no,no,no,no,no,no,no
3390171,atropine 0.1 mg/ml inj syringe,IV,Nervous system blocker,no,no,no,no,no,no,no
1057315,atropine 0.1 mg/ml syringe : 10 ml syringe,IV,Nervous system blocker,no,no,no,no,no,no,no
5251771,atropine injection 0.5 mg,Intravenous,Nervous system blocker,no,no,no,no,no,no,no
7014116,atropine injection 0.5 mg,IV,Nervous system blocker,no,no,no,no,no,no,no
5616538,atropine sulfate syringe,IV,Nervous system blocker,no,no,no,no,no,no,no
193719,atrovent,INH,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
804638,azithromycin,IV,Antibiotic,no,no,no,no,no,no,no
4023498,azithromycin 500 mg in ns 250 ml iv,IVPB,Antibiotic,no,no,no,no,no,no,no
4095746,azithromycin 500 mg in ns 250 ml iv,IV,Antibiotic,no,no,no,no,no,no,no
3903755,azithromycin 500 mg iv solr,IV,Antibiotic,no,no,no,no,no,no,no
929739,bacitracin,.ROUTE,Antibiotic,no,no,no,no,no,no,no
1003381,bayer chewable,Oral,Aspirin,no,no,yes - aspirin,no,no,Yes,no
1015283,bayer chewable,NG Tube,Aspirin,no,no,yes - aspirin,no,no,yes,no
381403,benadryl,PO,Antihistamine,no,no,no,no,no,no,no
5628238,benadryl,IV,Antihistamine,no,no,no,no,no,no,no
6880535,benadryl,Oral,Antihistamine,no,no,no,no,no,no,no
622378,biotene dry mouth mt liqd,Mouth Rinse,Mouthwash,no,no,no,no,no,no,no
780973,bisacodyl,ORAL,Laxative,no,no,no,no,no,no,no
1530405,bisacodyl,RECTAL,Laxative,no,no,no,no,no,no,no
2850483,bisacodyl,PR,Laxative,no,no,no,no,no,no,no
2858650,bisacodyl,RTL,Laxative,no,no,no,no,no,no,no
4530326,bisacodyl,Rectal,Laxative,no,no,no,no,no,no,no
6040039,bisacodyl,PO,Laxative,no,no,no,no,no,no,no
6232825,bisacodyl,Oral,Laxative,no,no,no,no,no,no,no
2531486,bisacodyl (dulcolax) supp 10 mg,PR,Laxative,no,no,no,no,no,no,no
4989654,bisacodyl (dulcolax) suppository 10 mg,RE,Laxative,no,no,no,no,no,no,no
4994556,bisacodyl (dulcolax) suppository 10 mg,Rect,Laxative,no,no,no,no,no,no,no
3714110,bisacodyl 10 mg pr supp,Rectal,Laxative,no,no,no,no,no,no,no
889,bisacodyl 10 mg re supp,RE,Laxative,no,no,no,no,no,no,no
699730,bisacodyl 10 mg re supp,Rectal,Laxative,no,no,no,no,no,no,no
282431,bisacodyl 10 mg rect supp,PR,Laxative,no,no,no,no,no,no,no
2035207,bisacodyl 5 mg ec tab,PO,Laxative,no,no,no,no,no,no,no
4416264,bisacodyl 5 mg po tbec,PO,Laxative,no,no,no,no,no,no,no
6627726,bumetanide,IV,Diuretic,no,no,no,no,no,no,no
5912646,bumetanide 0.25 mg/1ml 4ml sdv inj,IV Push,Diuretic,no,no,no,no,no,no,no
2495798,bumex,IV,Diuretic,no,no,no,no,no,no,no
4863664,buminate,IV,Stroke/acute STEMI,no,no,no,no,no,no,no
7112400,calcium carbonate,ORAL,Antiacid?,no,no,no,no,no,no,no
5683375,calcium carbonate 500 mg chew tab,Chewed,Antiacid?,no,no,no,no,no,no,no
5795686,calcium carbonate 500 mg chew tab,PO,Antiacid?,no,no,no,no,no,no,no
5336259,calcium carbonate antacid 500 mg po chew,PO,Antiacid?,no,no,no,no,no,no,no
6071043,calcium chloride,IV,Treatment for low blood calcium,no,no,no,no,no,no,no
2043929,calcium gluconate 1 gram/d5w 50ml,IVPB,Treatment for low blood calcium,no,no,no,no,no,no,no
2167992,calcium gluconate 1 gram/d5w 50ml,IV,Treatment for low blood calcium,no,no,no,no,no,no,no
1436610,calcium gluconate 10 % iv soln,IV,Treatment for low blood calcium,no,no,no,no,no,no,no
2531468,calcium gluconate 10 % iv soln 10ml,IVPB,Treatment for low blood calcium,no,no,no,no,no,no,no
810303,calcium gluconate 10%,IV,Treatment for low blood calcium,no,no,no,no,no,no,no
7174310,calcium gluconate 10%  sso,IV,Treatment for low blood calcium,no,no,no,no,no,no,no
3172744,calcium gluconate 100 mg/ml (10 %) iv : 10 ml,IV,Treatment for low blood calcium,no,no,no,no,no,no,no
6935937,calcium gluconate 100 mg/ml iv soln,IV,Treatment for low blood calcium,no,no,no,no,no,no,no
5109298,calcium gluconate 2 g/50 ml ns,INTRAVENOU,Treatment for low blood calcium,no,no,no,no,no,no,no
5683354,calcium gluconate 2 gram/d5w 50ml,IVPB,Treatment for low blood calcium,no,no,no,no,no,no,no
4862894,cardizem,IV,High blood pressure - calcium channel blocker,no,no,no,no,no,no,no
3922342,carvedilol,PO,beta-blocker,no,no,no,yes,no,no,no
4560305,carvedilol,ORAL,beta-blocker,no,no,no,yes,no,no,no
1611005,carvedilol 12.5 mg po tabs,PO,beta-blocker,no,no,no,yes,no,no,no
2817575,carvedilol 12.5 mg po tabs,Oral,beta-blocker,no,no,no,yes,no,no,no
1634021,carvedilol 25 mg po tabs,PO,beta-blocker,no,no,no,yes,no,no,no
112972,carvedilol 3.125 mg po tabs,PO,beta-blocker,no,no,no,yes,no,no,no
727272,carvedilol 3.125 mg po tabs,Oral,beta-blocker,no,no,no,yes,no,no,no
3714119,carvedilol 3.125 mg po tabs,Nasogastric Tube,beta-blocker,no,no,no,yes,no,no,no
235256,carvedilol 3.125 mg tab,PO,beta-blocker,no,no,no,yes,no,no,no
3894897,carvedilol 6.25 mg po tabs,PO,beta-blocker,no,no,no,yes,no,no,no
7193691,carvedilol 6.25 mg po tabs,Oral,beta-blocker,no,no,no,yes,no,no,no
4253141,cefazolin,IVPB,Antibiotic,no,no,no,no,no,no,no
7062207,cefazolin,INTRAVENOU,Antibiotic,no,no,no,no,no,no,no
525567,cefazolin (ancef) in dextrose ivpb 2 g,IVPB,Antibiotic,no,no,no,no,no,no,no
1290507,cefazolin 2 g/100 ml ns,INTRAVENOU,Antibiotic,no,no,no,no,no,no,no
4011175,cefazolin 2 gm in ns 100 ml ivpb,IV,Antibiotic,no,no,no,no,no,no,no
4027266,cefazolin 2 gm in ns 100 ml ivpb,IVPB,Antibiotic,no,no,no,no,no,no,no
1619998,cefazolin 2 gm in ns 100 ml ivpb (repackage),IV,Antibiotic,no,no,no,no,no,no,no
55204,cefepime hcl 2 g ij solr,IV,Antibiotic,no,no,no,no,no,no,no
4303353,cefepime in d5w (maxipime) ivpb 1 g,IVPB,Antibiotic,no,no,no,no,no,no,no
3998915,ceftriaxone 1 gram in ns 50 ml ivpb,IVPB,Antibiotic,no,no,no,no,no,no,no
4015044,ceftriaxone 1 gram in ns 50 ml ivpb,IV,Antibiotic,no,no,no,no,no,no,no
501008,ceftriaxone in d5w (rocephin) ivpb 1 g,IVPB,Antibiotic,no,no,no,no,no,no,no
5307736,ceftriaxone sodium 1 g ij solr,IV,Antibiotic,no,no,no,no,no,no,no
3962066,cephulac,PO,Laxative?,no,no,no,no,no,no,no
4989636,chlorhexidine (peridex) 0.12 % solution 15 ml,PO,Topical antiseptic,no,no,no,no,no,no,no
4994566,chlorhexidine (peridex) 0.12 % solution 15 ml,MT,Topical antiseptic,no,no,no,no,no,no,no
4271706,chlorhexidine (periogard) 0.12 % oral rinse 15 ml,ORAL MUCOSA,Topical antiseptic,no,no,no,no,no,no,no
1504392,chlorhexidine gluconate 0.12 % mouth/throat soln multidose,Other,Topical antiseptic,no,no,no,no,no,no,no
1290498,chlorhexidine gluconate 0.12%,MUCOUS MEM,Topical antiseptic,no,no,no,no,no,no,no
2882983,chlorhexidine gluconate 0.12%,MTHW,Topical antiseptic,no,no,no,no,no,no,no
242185,chlorhexidine gluconate ud liq 15ml,Swish,Topical antiseptic,no,no,no,no,no,no,no
246814,chlorhexidine gluconate ud liq 15ml,Oral swab,Topical antiseptic,no,no,no,no,no,no,no
2077300,chlorhexidine gluconate ud liq 15ml,PO,Topical antiseptic,no,no,no,no,no,no,no
3832889,ciprofloxacin in d5w 400 mg/200ml iv soln,IV,Antibiotic,no,no,no,no,no,no,no
5224480,ciprofloxacin in d5w 400 mg/200ml iv soln,Intravenous,Antibiotic,no,no,no,no,no,no,no
5722774,clonidine 0.1 mg tab,PO,Sedative?,no,no,no,no,no,no,no
1576498,clonidine hcl 0.1 mg po tabs,PO,Sedative?,no,no,no,no,no,no,no
146541,clopidogrel,.ROUTE,Blood thinner,no,no,yes,no,no,no,no
372943,clopidogrel,MISC,Blood thinner,no,no,yes,no,no,no,no
405149,clopidogrel,PO,Blood thinner,no,no,yes,no,no,no,no
480850,clopidogrel,PER_TUBE,Blood thinner,no,no,yes,no,no,no,no
607097,clopidogrel,Oral,Blood thinner,no,no,yes,no,no,no,no
779484,clopidogrel,ORAL,Blood thinner,no,no,yes,no,no,no,no
2479917,clopidogrel,PO or NG,Blood thinner,no,no,yes,no,no,no,no
3217100,clopidogrel,DEVICE,Blood thinner,no,no,yes,no,no,no,no
256762,clopidogrel 75 mg tab,PO,Blood thinner,no,no,yes,no,no,no,no
2043962,clopidogrel 75 mg tab,NG,Blood thinner,no,no,yes,no,no,no,no
483889,clopidogrel bisulfate,PO (oral)                                                                                           ,Blood thinner,no,no,yes,no,no,no,no
905044,clopidogrel bisulfate,PO,Blood thinner,no,no,yes,no,no,no,no
932568,clopidogrel bisulfate,.ROUTE,Blood thinner,no,no,yes,no,no,no,no
903,clopidogrel bisulfate 75 mg po tabs,PO,Blood thinner,no,no,yes,no,no,no,no
45341,clopidogrel bisulfate 75 mg po tabs,PER NG TUBE,Blood thinner,no,no,yes,no,no,no,no
75693,clopidogrel bisulfate 75 mg po tabs,PEG TUBE,Blood thinner,no,no,yes,no,no,no,no
709964,clopidogrel bisulfate 75 mg po tabs,Oral,Blood thinner,no,no,yes,no,no,no,no
484849,colace,PO,Laxative?,no,no,no,no,no,no,no
3990430,colace,NG,Laxative?,no,no,no,no,no,no,no
4767517,colace,Oral,Laxative?,no,no,no,no,no,no,no
6842532,compazine,Oral,Antipsychotic,no,no,no,no,no,no,no
4885204,cordarone,Oral,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
482626,coreg,PO,beta-blocker,no,no,no,yes,no,no,no
978445,coreg,Oral,beta-blocker,no,no,no,yes,no,no,no
2437399,coreg,PO (oral)                                                                                           ,beta-blocker,no,no,no,yes,no,no,no
3339165,coumadin,Oral,Blood thinner,no,no,no,no,no,no,no
4808729,cozaar,Oral,antihypertensive,no,no,no,no,no,no,no
5647350,cozaar,PO,antihypertensive,no,no,no,no,no,no,no
3121964,d50,IV,Glucose?,no,no,no,no,no,no,no
987145,definity,IV,Contrast?,no,no,no,no,no,no,no
4121225,dexmedetomidine,MISC,Sedative,no,no,no,no,no,no,no
231403,dexmedetomidine 200 mcg in 50 ml ns,IV,Sedative,no,no,no,no,no,no,no
4376563,dexmedetomidine hcl in nacl 200 mcg/50ml iv soln,IV,Sedative,no,no,no,no,no,no,no
5327190,dexmedetomidine hcl in nacl 400 mcg/100ml iv soln,IV,Sedative,no,no,no,no,no,no,no
5676646,dext 5% in water 1000 ml lvp,IV,Glucose?,no,no,no,no,no,no,no
5691377,dext 5%-nacl 0.45% 1000 ml lvp,IV,Glucose?,no,no,no,no,no,no,no
2095264,dext 5%-nacl 0.45%-kcl 20meq lvp,IV,Glucose?,no,no,no,no,no,no,no
5752194,dext 5%-nacl 0.9% 1000 ml lvp,IV,Glucose?,no,no,no,no,no,no,no
5225635,dextrose 5 % iv soln,Intravenous,Glucose?,no,no,no,no,no,no,no
6744740,dextrose 5% in normal saline iv : 1000 ml bag,IV,Glucose?,no,no,no,no,no,no,no
3110076,dextrose 5% in water (d5w) iv : 1000 ml bag,IV,Glucose?,no,no,no,no,no,no,no
3668569,dextrose 5% sso,IV,Glucose?,no,no,no,no,no,no,no
3545764,dextrose 5%-nacl 0.9%,INTRAVENOU,Glucose?,no,no,no,no,no,no,no
1530402,dextrose 5%/nacl 0.45%,INTRAVEN,Glucose?,no,no,no,no,no,no,no
3500382,dextrose 50 % (d50w) syringe,IV,Glucose?,no,no,no,no,no,no,no
5251776,dextrose 50 % in water (d50w) injection 15 ml,Intravenous,Glucose?,no,no,no,no,no,no,no
501005,dextrose 50 % inj,IV PUSH,Glucose?,no,no,no,no,no,no,no
7014129,dextrose 50 % injection 50 ml,IV,Glucose?,no,no,no,no,no,no,no
5224433,dextrose 50 % iv soln,Intravenous,Glucose?,no,no,no,no,no,no,no
6337086,dextrose 50 % iv soln,IV,Glucose?,no,no,no,no,no,no,no
4121265,dextrose 50%,IV,Glucose?,no,no,no,no,no,no,no
6841547,dextrose 50%,DEVICE,Glucose?,no,no,no,no,no,no,no
238215,dextrose 50% 25 gram/50 ml inj,IV Push,Glucose?,no,no,no,no,no,no,no
2043951,dextrose 50% 25 gram/50 ml inj,IRR,Glucose?,no,no,no,no,no,no,no
2046157,dextrose 50% 25 gram/50 ml inj,IV,Glucose?,no,no,no,no,no,no,no
3995210,dextrose 50% 25 gram/50 ml syr,IV Push,Glucose?,no,no,no,no,no,no,no
5683357,dextrose 50% 25 gram/50 ml syr,IV,Glucose?,no,no,no,no,no,no,no
1969735,dextrose 50% abboject,IV,Glucose?,no,no,no,no,no,no,no
6075307,dextrose 50% in water,IV,Glucose?,no,no,no,no,no,no,no
6232826,dextrose 50% in water,IntraVENOUS,Glucose?,no,no,no,no,no,no,no
7180329,dextrose 50% inj,IV,Glucose?,no,no,no,no,no,no,no
7255707,dextrose 50% syringe,INTRAVEN,Glucose?,no,no,no,no,no,no,no
6772140,dextrose 50% vial,IVP,Glucose?,no,no,no,no,no,no,no
7255701,dextrose 50% vial,INTRAVEN,Glucose?,no,no,no,no,no,no,no
